LocusID;Zygote;Quadrant;Globular;Heart;Torpedo;Bent;Mature
AT2G41720;1141.715589;1258.64488;1483.516422;1335.375312;1110.803307;1024.627032;1916.804879
AT2G43360;1554.098365;3233.202436;1249.174892;5296.280949;15776.2303;2802.944363;1094.038815
AT2G43650;861.220764;886.0609794;1003.892349;1002.674886;1047.352438;907.9599095;909.7264442
AT2G44190;889.2579201;821.1623595;943.5295061;824.5321544;866.2968188;978.283872;858.4407192
AT2G45000;749.6566236;698.9812268;745.8763446;728.8086111;738.8449886;711.8662063;795.4088398
AT2G45270;1259.339768;1228.206465;1293.187265;1343.025991;1512.164033;1929.261719;2593.625275
AT2G45330;2675.258703;1165.46953;1462.815942;1790.238991;1634.049307;2955.317493;24869.0516
AT2G45690;865.6464587;843.4320304;959.2146145;1097.229204;1048.078138;1035.260753;1846.798002
AT2G47620;982.0692087;893.2509737;1277.726789;1239.038352;1080.281813;1325.929193;1096.126524
AT2G47940;914.487075;978.4376482;2184.073909;3044.808774;3874.469912;4240.657865;942.3362778
AT3G01370;829.8232436;953.2639226;1086.483444;942.2978986;882.8930323;918.6726297;813.1189041
AT3G01610;1290.84822;1425.773222;2163.839192;1980.962711;1395.865799;1505.40801;1265.75494
AT3G02280;1423.486884;1474.897714;2077.204505;2097.691699;3174.265324;3126.672113;967.4844432
AT3G02660;830.4118147;781.8529554;877.190616;1010.450389;1098.902846;1078.932367;810.8352181
AT3G04340;834.6950975;957.4281787;960.4744057;962.7777376;1022.874149;939.2745266;866.6341526
AT3G04400;65286.8429;58601.04242;60570.45808;52658.36506;55163.81609;54609.05303;19502.92208
AT3G04460;711.8005859;679.9533668;694.7981335;653.9655017;662.5212418;653.945507;744.6105862
AT3G04680;964.620168;860.8168399;1207.718901;1316.443243;1099.009436;1198.271338;942.7035517
AT3G04790;1060.245783;1047.171405;1166.459993;1292.846991;2122.77927;2180.518137;1089.701649
AT3G05680;779.6837221;760.2769436;729.4435161;705.1826696;709.5889504;710.1741127;772.6612599
AT3G06350;2794.778652;1657.963494;1968.597133;1745.564183;1723.851714;2388.927407;1372.254143
AT3G06430;938.3393404;857.3885172;862.3813444;903.7653709;1205.526523;1273.388008;1112.79059
AT3G07060;1687.406478;1614.489721;1670.596544;1636.798951;1410.802623;1250.729925;1282.053131
AT3G07430;946.9275474;936.219383;992.5391544;1100.443212;1269.425263;1152.282184;849.9061054
AT3G08850;894.5305852;794.5569013;880.5861088;750.533501;820.2850111;944.7162451;2451.83625
AT3G10220;1524.528821;1497.740272;1470.993391;1237.93156;1276.141671;1380.818579;2199.084877
AT3G10670;634.0468592;588.4073239;590.3669905;574.7418459;578.3414232;604.4465333;649.4607574
AT3G10690;736.396465;703.8794826;851.4511833;889.7965642;910.8382885;902.9024279;830.7750186
AT3G11940;22682.26785;20053.71108;23587.03811;22060.28141;20372.15359;18141.69221;15835.64107
AT3G12080;3506.070138;2123.821503;3497.594353;3722.430681;4578.890533;4617.989277;12631.12599
AT3G12670;2054.637528;1549.06603;2084.436522;3123.955405;3688.775043;19354.93879;3205.03351
AT3G13200;1400.114402;1627.941253;1643.668385;1828.868619;2212.710757;2515.340006;1364.399855
AT3G14900;5100.071912;6034.189563;3900.883812;4772.1107;4483.316917;1857.832379;1356.231522
AT3G16290;1608.455616;1599.780542;1225.183575;1393.723778;1626.05716;1534.844147;1782.467272
AT3G17300;1057.109457;1242.024546;1411.849466;1794.70256;1895.140607;1701.924352;972.8671351
AT3G17910;614.6255308;611.1182295;634.8297614;672.6823048;621.6255234;621.8591298;650.7612721
AT3G18110;852.4275885;978.5598545;1033.636686;1114.823445;1100.467438;1164.278671;944.5031695
AT3G18290;2087.089014;1486.737302;1619.431963;1722.582912;1476.506985;1285.346226;2384.938519
AT3G18390;688.1765227;637.9890618;635.8052173;659.3109275;664.6774647;666.8861786;686.7573766
AT3G19700;758.0474784;799.5146581;883.4304109;884.5740975;924.610113;886.3620522;837.0224528
AT3G19770;857.1401402;1037.529383;1134.120625;886.8266688;921.2011673;1061.758685;1046.480498
AT3G19980;742.7096165;755.8737155;803.0437647;867.367013;848.1161632;818.8430697;760.727858
AT3G20070;6740.011231;8710.426264;4387.040427;4806.813988;7214.63417;10121.2185;11344.91708
AT3G20400;877.9682674;891.469226;849.7104986;895.7729029;960.8355528;897.8528584;834.9117546
AT3G20440;734.8773944;782.1398507;774.2860391;811.645874;831.6531946;743.0904856;743.2882822
AT3G20630;2048.89834;1125.064923;1393.841993;1583.18063;1354.079861;1429.728206;1276.4923
AT3G23110;689.0388091;744.7724967;809.9429803;794.9201941;833.7116138;765.8010239;691.1802103
AT3G24560;782.9080775;773.4244279;761.5048123;748.45309;767.4312766;808.2584577;796.7841795
AT3G25860;1807.290051;4531.854677;15089.3858;12950.95563;33278.31552;38031.96125;2278.710137
